PathwayName,Expression,Number of Genes
Eukaryotic Translation Elongation,0.6128264188543185,94
TNFR1-induced NF-kappa-B signaling pathway,0.6127611345256708,33
Transmission across Electrical Synapses ,0.6118818984181633,5
Electric Transmission Across Gap Junctions,0.6118818984181633,5
Termination of translesion DNA synthesis,0.6111640142857853,32
TBC/RABGAPs,0.6109639481981989,44
CTNNB1 S37 mutants aren't phosphorylated,0.6106483116783966,15
Regulation of gene expression in beta cells,0.6093941451761664,21
SHC-mediated cascade:FGFR4,0.6092604626010095,20
S Phase,0.6090312414757797,150
Nuclear Envelope (NE) Reassembly,0.6084780240955382,76
STING mediated induction of host immune responses,0.6079107030419422,16
Signaling by NTRK3 (TRKC),0.607544645677952,17
Unfolded Protein Response (UPR),0.6075323487321799,93
FLT3 signaling by CBL mutants,0.6075129591283384,7
MECP2 regulates transcription of neuronal ligands,0.607354321000596,8
NR1H2 & NR1H3 regulate gene expression to control bile acid homeostasis,0.6073057431708985,9
Z-decay: degradation of maternal mRNAs by zygotically expressed factors,0.606269645059207,12
PI-3K cascade:FGFR4,0.6062602316625233,20
DNA Replication Pre-Initiation,0.6056618270636919,145
IRF3-mediated induction of type I IFN,0.6055955571501638,13
Glyoxylate metabolism and glycine degradation,0.6055800892718297,19
Beta-catenin phosphorylation cascade,0.6053976464342357,17
Regulation of CDH11 mRNA translation by microRNAs,0.6053623515343385,10
Mitochondrial protein degradation,0.6051690491643711,98
Telomere Extension By Telomerase,0.6050416846153085,23
FRS-mediated FGFR4 signaling,0.6049213508736833,22
SARS-CoV-2 activates/modulates innate and adaptive immune responses,0.6038301398532423,126
Biotin transport and metabolism,0.6036912572781039,11
Regulation of TNFR1 signaling,0.6033644916760664,48
RHOBTB GTPase Cycle,0.6033275020601097,35
Regulation of NPAS4 gene transcription,0.6027302189445369,5
Association of TriC/CCT with target proteins during biosynthesis,0.6026190450461976,39
Defects in biotin (Btn) metabolism,0.6025377578257836,8
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,0.6021138397529217,39
DNA strand elongation,0.601968916658555,32
Hedgehog 'off' state,0.6018661683953448,100
Downregulation of TGF-beta receptor signaling,0.6017916068471109,26
Assembly of the pre-replicative complex,0.6017481582118569,128
GDP-fucose biosynthesis,0.6017009580064974,6
Vasopressin-like receptors,0.6013801847376083,6
RIP-mediated NFkB activation via ZBP1,0.6013734506322721,17
RNA Polymerase III Transcription Termination,0.6009338259819207,23
Cellular response to hypoxia,0.5999862838820965,62
Regulation of BACH1 activity,0.5997622579934216,11
Viral mRNA Translation,0.5988230800322122,90
"Sodium-coupled sulphate, di- and tri-carboxylate transporters",0.5985869370391474,5
Peptide chain elongation,0.5981628202656408,90
MAP kinase activation,0.5976332037021689,63
Antigen processing: Ubiquitination & Proteasome degradation,0.5974505156173094,295
Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA,0.5973356564266905,17
Apoptosis induced DNA fragmentation,0.597209314405652,13
FGFR4 ligand binding and activation,0.5969819677403377,14
Glucocorticoid biosynthesis,0.5967938115426724,10
IkBA variant leads to EDA-ID,0.5967779493755364,7
Prolonged ERK activation events,0.59674949311927,14
Glycogen storage diseases,0.5962708135903173,15
Regulation of beta-cell development,0.5960648746637047,42
Infection with Mycobacterium tuberculosis,0.5957577271529721,27
Cytosolic sensors of pathogen-associated DNA ,0.5957454162920162,64
Peroxisomal protein import,0.5947589061681143,63
SUMOylation of intracellular receptors,0.5947191694036951,30
Eukaryotic Translation Termination,0.5941854964782789,94
Hedgehog 'on' state,0.5936363767916133,73
Transcriptional Regulation by NPAS4,0.5932424335339789,34
Influenza Infection,0.5932384683762202,157
Small interfering RNA (siRNA) biogenesis,0.5929783925108335,9
Selenocysteine synthesis,0.5928722446655248,94
TICAM1-dependent activation of IRF3/IRF7,0.592829926928564,13
Cargo trafficking to the periciliary membrane,0.5925974110504213,51
Retrograde transport at the Trans-Golgi-Network,0.5925645384060872,49
Regulation of RUNX2 expression and activity,0.592562341150686,59
Amino acids regulate mTORC1,0.5923884016637497,55
Negative regulators of DDX58/IFIH1 signaling,0.5920904314189914,35
Formation of apoptosome,0.5919832834928562,11
Regulation of the apoptosome activity,0.5919832834928562,11
Presynaptic depolarization and calcium channel opening,0.5919147948129608,11
p75NTR recruits signalling complexes,0.5918430816575139,13
Propionyl-CoA catabolism,0.5916849057295545,5
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),0.5916307279377154,96
TNF signaling,0.5905647348975941,57
Interleukin-17 signaling,0.5904188113449855,71
Formation of a pool of free 40S subunits,0.5902410028896301,102
Purine ribonucleoside monophosphate biosynthesis,0.5901600057883977,11
CTNNB1 T41 mutants aren't phosphorylated,0.58974285371985,15
RHOBTB1 GTPase cycle,0.5897112429990977,23
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,0.5896135247927696,51
Role of second messengers in netrin-1 signaling,0.5894626373355415,10
COPI-mediated anterograde transport,0.5893443549512452,102
Interactions of Vpr with host cellular proteins,0.5892172190792607,37
Extension of Telomeres,0.588483936970877,51
GTP hydrolysis and joining of the 60S ribosomal subunit,0.588402520312409,113
Negative regulation of FGFR4 signaling,0.5883698912129969,31
Downregulation of ERBB2:ERBB3 signaling,0.588324418649645,13
NPAS4 regulates expression of target genes,0.588275331716856,22
Nuclear Pore Complex (NPC) Disassembly,0.5882227679797865,36
Spry regulation of FGF signaling,0.5878246034854431,16
L13a-mediated translational silencing of Ceruloplasmin expression,0.587766718153345,112
Glycoprotein hormones,0.5876974074887564,12
Signaling by LTK in cancer,0.5867214456919497,7
Influenza Viral RNA Transcription and Replication,0.5866824222602395,137
SUMOylation of DNA replication proteins,0.5863196499730179,46
NS1 Mediated Effects on Host Pathways,0.586061423172669,41
Wax and plasmalogen biosynthesis,0.5853880638337325,7
Vpr-mediated nuclear import of PICs,0.584418662579665,34
RAF activation,0.584116605902803,34
Regulation of pyruvate metabolism,0.5839029637261183,33
Na+/Cl- dependent neurotransmitter transporters,0.5837170917563346,19
SRP-dependent cotranslational protein targeting to membrane,0.5835898889488152,113
p75NTR signals via NF-kB,0.5832990840370637,16
rRNA processing,0.5826582117878227,205
Signaling by NOTCH4,0.5826340333020399,72
RHOBTB2 GTPase cycle,0.5824791910863042,23
Regulation of gene expression in early pancreatic precursor cells,0.5820639088201037,8
mRNA Editing,0.581709408357382,10
Cap-dependent Translation Initiation,0.5808545347704535,120
Export of Viral Ribonucleoproteins from Nucleus,0.5806860741332879,33
Diseases associated with glycosylation precursor biosynthesis,0.5806571582946704,15
Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC),0.5806181014785171,32
Eukaryotic Translation Initiation,0.5805195669030785,120
Major pathway of rRNA processing in the nucleolus and cytosol,0.5804607711339667,183
Aggrephagy,0.5794573413375067,44
Neddylation,0.5793781449934847,232
Deadenylation of mRNA,0.5783047127737019,25
DNA Replication,0.5780917002310251,180
HDR through Homologous Recombination (HRR),0.5776326230730231,70
AKT phosphorylates targets in the cytosol,0.5772720039328981,14
Diseases of branched-chain amino acid catabolism,0.5771201273358519,13
Activation of RAC1 downstream of NMDARs,0.5767099733780898,7
Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling,0.5766734533799346,5
FBXW7 Mutants and NOTCH1 in Cancer,0.5766734533799345,5
Inactivation of APC/C via direct inhibition of the APC/C complex,0.5766597164087208,21
Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components,0.5766597164087208,21
Maternal to zygotic transition (MZT),0.5766041141227295,123
RNA Polymerase I Transcription Termination,0.5763127680541886,31
Sperm Motility And Taxes,0.5763074295373393,9
HIV Infection,0.5761938197425935,218
Signaling by TGF-beta Receptor Complex in Cancer,0.5756455166720978,8
RNA Polymerase III Abortive And Retractive Initiation,0.574885657322721,41
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),0.5748715834391492,116
Nonsense-Mediated Decay (NMD),0.5748715834391492,116
Transport of nucleotide sugars,0.5746990066831336,9
NEP/NS2 Interacts with the Cellular Export Machinery,0.5746061038650032,32
Formation of the Editosome,0.5745257706485128,8
mRNA Editing: C to U Conversion,0.5745257706485128,8
Miro GTPase Cycle,0.5742561444744465,8
Mitochondrial Fatty Acid Beta-Oxidation,0.5739405334557954,37
IRE1alpha activates chaperones,0.5739038457454301,50
Glycosphingolipid transport,0.5736140299714418,8
XBP1(S) activates chaperone genes,0.5734958737364262,48
PTEN Regulation,0.5734202091226395,127
Suppression of apoptosis,0.573161569145947,7
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,0.5729305592848877,16
DNA replication initiation,0.5729070762525361,8
Modulation by Mtb of host immune system,0.5724741586169946,7
rRNA processing in the nucleus and cytosol,0.5724053937695819,193
Synthesis of PIPs at the Golgi membrane,0.5717313399345134,18
The role of GTSE1 in G2/M progression after G2 checkpoint,0.5713145079655699,66
Rev-mediated nuclear export of HIV RNA,0.5713019946144612,35
Protein localization,0.5708569916773565,164
Autophagy,0.5707557936397598,158
Complex IV assembly,0.5707024130721183,47
Regulation of Glucokinase by Glucokinase Regulatory Protein,0.5702004874427684,32
Regulation of NFE2L2 gene expression,0.5698565813031671,8
Interactions of Rev with host cellular proteins,0.5695756993771316,37
Polymerase switching,0.569413429799957,14
Leading Strand Synthesis,0.569413429799957,14
Phosphate bond hydrolysis by NUDT proteins,0.5692463048920547,7
Mismatch Repair,0.5689430485950112,15
Degradation of beta-catenin by the destruction complex,0.5687884591843148,72
Phosphorylation of the APC/C,0.5686986004907993,20
Selective autophagy,0.5682019372524375,90
Signaling by AMER1 mutants,0.567754679808285,14
Regulation of MECP2 expression and activity,0.5672513846106554,32
Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,0.5672477112271036,22
Defective HLCS causes multiple carboxylase deficiency,0.5667990502779863,7
Free fatty acid receptors,0.5667839749142267,5
Intestinal absorption,0.5661520224654292,5
Regulation of TP53 Activity,0.5659886333262045,160
Macroautophagy,0.5655853783706926,143
PP2A-mediated dephosphorylation of key metabolic factors,0.5655206027811811,7
Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,0.5648760797920176,53
Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta),0.5645683341971425,14
TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling,0.5645008769786997,13
Nuclear import of Rev protein,0.5638360063718256,34
SUMOylation of ubiquitinylation proteins,0.5638216807984134,39
SUMOylation of DNA methylation proteins,0.5637041668013045,16
"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",0.5636182131929335,13
Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells,0.5635407974300676,5
Truncations of AMER1 destabilize the destruction complex,0.5635198104398046,14
Signaling by GSK3beta mutants,0.5632626069723576,15
E3 ubiquitin ligases ubiquitinate target proteins,0.563152540543842,59
Processing of SMDT1,0.5631467210231019,16
Heme biosynthesis,0.5631136452397005,14
Diseases of carbohydrate metabolism,0.5630635447566638,33
RNA Polymerase I Transcription Initiation,0.5620540892060311,47
Post-transcriptional silencing by small RNAs,0.5617512776094035,7
NRIF signals cell death from the nucleus,0.5614154055660732,16
Aerobic respiration and respiratory electron transport,0.5613815691760465,259
SUMOylation of RNA binding proteins,0.5613786304911836,47
SCF(Skp2)-mediated degradation of p27/p21,0.5613452645840099,50
Synthesis of wybutosine at G37 of tRNA(Phe),0.5612343265488183,6
Telomere C-strand (Lagging Strand) Synthesis,0.5608398694965822,34
G1/S DNA Damage Checkpoints,0.560327702779416,55
Fatty acids,0.5602790197944328,15
DDX58/IFIH1-mediated induction of interferon-alpha/beta,0.5602313754364283,82
Aberrant regulation of mitotic exit in cancer due to RB1 defects,0.560011799168538,20
Chaperone Mediated Autophagy,0.5598722152972582,22
Lagging Strand Synthesis,0.5595459581810065,20
Late endosomal microautophagy,0.5593637864845108,34
MASTL Facilitates Mitotic Progression,0.5592268740670182,10
SUMOylation of transcription cofactors,0.5592021100765135,43
VLDL assembly,0.5591696182881223,5
RNA polymerase II transcribes snRNA genes,0.5591673552536428,81
Regulation of RUNX3 expression and activity,0.5589016857027241,45
Transport of Ribonucleoproteins into the Host Nucleus,0.5587888171064957,32
SUMOylation of SUMOylation proteins,0.5584892875118652,35
TP53 Regulates Transcription of DNA Repair Genes,0.5584655107514911,62
Phospholipase C-mediated cascade; FGFR4,0.5581964628016138,15
"Regulation of glycolysis by fructose 2,6-bisphosphate metabolism",0.5576363873193875,12
tRNA modification in the nucleus and cytosol,0.5574730786230728,43
Nucleotide biosynthesis,0.5572461383775855,14
Viral Messenger RNA Synthesis,0.5566807406783608,44
Removal of the Flap Intermediate,0.5562387783811239,14
Transport of the SLBP independent Mature mRNA,0.5561868656012117,35
RNA Polymerase III Transcription,0.5558869454207735,41
Frs2-mediated activation,0.5555219599697722,12
Processive synthesis on the lagging strand,0.5541532420624389,15
Antimicrobial peptides,0.5536522510270907,98
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,0.5530837417330734,7
Asymmetric localization of PCP proteins,0.552881563269505,51
RNA Polymerase III Transcription Initiation From Type 3 Promoter,0.5520095592078935,28
p53-Dependent G1 DNA Damage Response,0.5519343508872301,53
p53-Dependent G1/S DNA damage checkpoint,0.5519343508872301,53
Competing endogenous RNAs (ceRNAs) regulate PTEN translation,0.5518239010793746,8
Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha),0.5517900399544777,14
Regulation of TP53 Activity through Methylation,0.5516447804635768,19
SHOC2 M1731 mutant abolishes MRAS complex function,0.551018149389349,8
Transport of the SLBP Dependant Mature mRNA,0.5508255008416334,36
tRNA processing,0.550034042324707,111
LDL remodeling,0.5499891634739382,6
Deadenylation-dependent mRNA decay,0.5499806986591612,56
Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase,0.5499478207430096,20
Activation of NF-kappaB in B cells,0.5496653236919629,54
Energy dependent regulation of mTOR by LKB1-AMPK,0.549014472210454,29
PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1,0.5489374229157779,9
Regulation of NF-kappa B signaling,0.5487542034456315,18
VLDLR internalisation and degradation,0.5484877028801614,16
Polymerase switching on the C-strand of the telomere,0.5484049326655127,26
Processive synthesis on the C-strand of the telomere,0.5478567923021432,19
IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation,0.5474522592025659,15
Protein methylation,0.5469820401813241,17
RNA Polymerase II HIV Promoter Escape,0.5466210475214615,47
RNA Polymerase II Transcription Pre-Initiation And Promoter Opening,0.5466210475214615,47
RNA Polymerase II Transcription Initiation And Promoter Clearance,0.5466210475214615,47
HIV Transcription Initiation,0.5466210475214615,47
RNA Polymerase II Transcription Initiation,0.5466210475214615,47
RNA Polymerase II Promoter Escape,0.5466210475214615,47
NFE2L2 regulates pentose phosphate pathway genes,0.5463554947412036,8
activated TAK1 mediates p38 MAPK activation,0.5453406111615943,23
Synthesis of DNA,0.5444564465082772,108
"Regulation of TBK1, IKKε-mediated activation of IRF3, IRF7 upon TLR3 ligation",0.5441270951997781,11
Translation of Replicase and Assembly of the Replication Transcription Complex,0.5436334448629302,14
IKK complex recruitment mediated by RIP1,0.5434388574339062,23
JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1,0.5430518449880686,22
TRAF6-mediated induction of TAK1 complex within TLR4 complex,0.542822973399021,16
mRNA decay by 3' to 5' exoribonuclease,0.5422364652485768,16
Regulation of RAS by GAPs,0.5421893365762255,55
Metabolism of amine-derived hormones,0.5414829701033431,18
Regulation of NPAS4 gene expression,0.5414204483383369,13
Translation,0.5412669939600238,294
Postmitotic nuclear pore complex (NPC) reformation,0.5408917332312061,27
TYSND1 cleaves peroxisomal proteins,0.5408700177879066,7
MicroRNA (miRNA) biogenesis,0.5408630824308923,25
Respiratory electron transport,0.5404739172541443,157
Fanconi Anemia Pathway,0.5404040827364878,39
RHOT2 GTPase cycle,0.5403849743914794,7
Signalling to p38 via RIT and RIN,0.5400282207224167,5
Hedgehog ligand biogenesis,0.539717766888229,52
Ubiquinol biosynthesis,0.539477019536956,13
Removal of the Flap Intermediate from the C-strand,0.5392836350044287,17
rRNA modification in the nucleus and cytosol,0.5392337756381886,60
Transport of Mature mRNA Derived from an Intronless Transcript,0.539171932544954,42
Cellular response to mitochondrial stress,0.5384866240217135,9
MTOR signalling,0.538367174861896,41
Pentose phosphate pathway,0.5373893357104749,15
snRNP Assembly,0.5369919147123162,54
Metabolism of non-coding RNA,0.5369919147123161,54
Beta oxidation of butanoyl-CoA to acetyl-CoA,0.5361526275937781,5
NF-kB is activated and signals survival,0.5356244738538636,13
Complex I biogenesis,0.5353857426514254,68
Transport of Mature mRNAs Derived from Intronless Transcripts,0.535241756173967,43
Deubiquitination,0.5352325367096296,283
Synthesis of diphthamide-EEF2,0.5345943304053045,8
RNA Polymerase III Transcription Initiation,0.5342495235324445,36
"Respiratory syncytial virus (RSV) genome replication, transcription and translation",0.5336376234486006,16
HIV Life Cycle,0.533584300725608,149
Recognition of DNA damage by PCNA-containing replication complex,0.5326766897161057,30
Metabolism of RNA,0.53233339907717,711
tRNA processing in the nucleus,0.5320513496650493,59
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,0.531544089291756,25
RNA Polymerase II Pre-transcription Events,0.5315392869063355,81
Xenobiotics,0.5301721382519355,23
Cristae formation,0.529947591097891,33
NFE2L2 regulating ER-stress associated genes,0.5291475849491734,5
Protein lipoylation,0.5286953170579859,10
Mitochondrial calcium ion transport,0.5284360490280074,23
Defective homologous recombination repair (HRR) due to PALB2 loss of function,0.5284309108231626,25
Regulation of APC/C activators between G1/S and early anaphase,0.5280892426819359,68
mTORC1-mediated signalling,0.5277623548630384,24
Telomere C-strand synthesis initiation,0.5277377331555945,13
ATF6 (ATF6-alpha) activates chaperones,0.5274136604089755,12
RNA Polymerase III Chain Elongation,0.5268971608067007,18
Switching of origins to a post-replicative state,0.5263330580184953,79
PCNA-Dependent Long Patch Base Excision Repair,0.5257841743697946,21
Regulation of innate immune responses to cytosolic DNA,0.5256463784829583,15
Formation of WDR5-containing histone-modifying complexes,0.5251565443902438,41
Complex III assembly,0.5250416540750674,25
RNA Polymerase III Transcription Initiation From Type 2 Promoter,0.524877696016146,27
APC/C-mediated degradation of cell cycle proteins,0.5246447105814958,75
Regulation of mitotic cell cycle,0.5246447105814958,75
RNA Polymerase III Transcription Initiation From Type 1 Promoter,0.5245969893902602,28
Regulation of PTEN mRNA translation,0.5244516060833944,10
Regulation of TP53 Expression and Degradation,0.5241683607106925,37
Branched-chain ketoacid dehydrogenase kinase deficiency,0.5241483860620375,5
Mitochondrial unfolded protein response (UPRmt),0.5240140108028684,17
mRNA Capping,0.5236889344014747,29
Resolution of AP sites via the multiple-nucleotide patch replacement pathway,0.5235462217264971,25
RNA Pol II CTD phosphorylation and interaction with CE during HIV infection,0.5234072306646509,27
RNA Pol II CTD phosphorylation and interaction with CE,0.5234072306646509,27
APC-Cdc20 mediated degradation of Nek2A,0.523354217702158,26
Cytosolic tRNA aminoacylation,0.5231373103212554,24
Response of Mtb to phagocytosis,0.5230826877262029,23
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,0.5229312496769497,64
MAP3K8 (TPL2)-dependent MAPK1/3 activation,0.5224709409327952,16
Downregulation of SMAD2/3:SMAD4 transcriptional activity,0.5224575701498362,31
WNT mediated activation of DVL,0.5221402405290374,8
Resolution of Abasic Sites (AP sites),0.5221389923272469,38
UCH proteinases,0.5216764244245874,86
Metabolism of polyamines,0.521306912663436,46
Synthesis of Dolichyl-phosphate,0.5212565577462952,6
Ub-specific processing proteases,0.5211678760573999,205
Protein ubiquitination,0.5207570347326855,79
Mitochondrial protein import,0.5205522226754918,65
Formation of ATP by chemiosmotic coupling,0.5202220744445278,20
POLB-Dependent Long Patch Base Excision Repair,0.5200492103641737,8
PI5P Regulates TP53 Acetylation,0.5192351932936025,9
Signaling by RAF1 mutants,0.5189801783546201,41
Ovarian tumor domain proteases,0.517312142580116,39
RAS processing,0.5170880877266875,24
Regulation of TP53 Activity through Acetylation,0.5166172357956013,30
Receptor Mediated Mitophagy,0.5166000060648739,11
Formation of RNA Pol II elongation complex ,0.5161526819276067,58
RNA Polymerase II Transcription Elongation,0.5161526819276067,58
mRNA decay by 5' to 3' exoribonuclease,0.514729188606531,15
Tyrosine catabolism,0.5144785120381221,5
Regulation of TP53 Degradation,0.5144253089391975,36
PINK1-PRKN Mediated Mitophagy,0.5138766328557701,32
ERKs are inactivated,0.5138444666502755,13
Budding and maturation of HIV virion,0.5136639422636727,28
Golgi Cisternae Pericentriolar Stack Reorganization,0.5133603234836837,14
SUMO is conjugated to E1 (UBA2:SAE1),0.5129776769074974,5
tRNA Aminoacylation,0.5126532453583114,42
Beta oxidation of hexanoyl-CoA to butanoyl-CoA,0.5123686147099827,5
Orc1 removal from chromatin,0.5123327616273664,58
Mitochondrial iron-sulfur cluster biogenesis,0.5117360999943439,13
Maturation of hRSV A proteins,0.5115722160967859,13
Regulation of PTEN stability and activity,0.5111291031179059,56
Aspirin ADME,0.5110385153129382,42
APC/C:Cdc20 mediated degradation of mitotic proteins,0.5105616954029364,63
Late Phase of HIV Life Cycle,0.5098890425207874,136
ATF6 (ATF6-alpha) activates chaperone genes,0.509264847155271,10
Transcription of the HIV genome,0.5080979415082103,70
APC/C:Cdc20 mediated degradation of Cyclin B,0.5080629536856535,24
Translesion synthesis by POLK,0.5076717485957806,17
Formation of axial mesoderm,0.5076472506486994,14
CDK-mediated phosphorylation and removal of Cdc6,0.50749644298562,60
Coenzyme A biosynthesis,0.5065184681880146,7
Dual Incision in GG-NER,0.5064978861109101,41
KSRP (KHSRP) binds and destabilizes mRNA,0.5063330820466236,17
tRNA modification in the mitochondrion,0.5057004467830039,9
mitochondrial fatty acid beta-oxidation of saturated fatty acids,0.5056492927747862,11
Mitophagy,0.5054052828180567,39
Synthesis of glycosylphosphatidylinositol (GPI),0.5035766226655702,18
Malate-aspartate shuttle,0.5027040772572643,9
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,0.5025585944302119,61
Stabilization of p53,0.5020974503290283,44
AXIN missense mutants destabilize the destruction complex,0.501488648177398,14
Diseases associated with N-glycosylation of proteins,0.5013953437141971,20
Mitochondrial tRNA aminoacylation,0.5006714568292324,21
Regulation of NPAS4 mRNA translation,0.5005472679342037,9
SMAD2/3 Phosphorylation Motif Mutants in Cancer,0.4999646045205692,6
Fertilization,0.4996703828697091,26
Dual incision in TC-NER,0.49953281632636215,63
SUMOylation of immune response proteins,0.4985674218509681,12
Acrosome Reaction and Sperm:Oocyte Membrane Binding,0.4981527866058394,6
Transport of Mature mRNA derived from an Intron-Containing Transcript,0.4977703108039932,75
Gap-filling DNA repair synthesis and ligation in TC-NER,0.49731399117938485,62
Organic cation/anion/zwitterion transport,0.496777325585993,15
Suppression of phagosomal maturation,0.496775269036158,13
Cdc20:Phospho-APC/C mediated degradation of Cyclin A,0.4966688766800077,60
Translesion synthesis by POLI,0.4963097819052258,17
"TICAM1, RIP1-mediated IKK complex recruitment",0.4962284925331755,19
Transcription-Coupled Nucleotide Excision Repair (TC-NER),0.4951080744921894,76
Signaling by AXIN mutants,0.4950911149196404,14
Transport of Mature Transcript to Cytoplasm,0.49339087787099967,84
Beta oxidation of octanoyl-CoA to hexanoyl-CoA,0.4930900230034734,5
Mitochondrial translation termination,0.4920769907223802,89
Digestion of dietary lipid,0.4918418285807681,7
Regulation of mRNA stability by proteins that bind AU-rich elements,0.4917303469310113,74
Formation of the HIV-1 Early Elongation Complex,0.4914969534888667,33
Formation of the Early Elongation Complex,0.4914969534888667,33
Mitochondrial translation,0.49094850253479133,95
Endosomal Sorting Complex Required For Transport (ESCRT),0.49083190730990783,31
Proteasome assembly,0.4907542437987692,52
Strand-asynchronous mitochondrial DNA replication,0.49044475784283764,10
Mitochondrial translation elongation,0.4903481968317706,89
mRNA 3'-end processing,0.4902629348517178,58
Mitochondrial translation initiation,0.49015447383277294,89
Citric acid cycle (TCA cycle),0.48988313870341815,34
Gap-filling DNA repair synthesis and ligation in GG-NER,0.48986590902092586,25
HuR (ELAVL1) binds and stabilizes mRNA,0.4895725787126755,8
mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,0.4893251145987839,6
Folding of actin by CCT/TriC,0.4890258018796183,10
Pexophagy,0.4889151912520811,11
RNA Polymerase II Transcription Termination,0.4885883913188421,67
Translesion synthesis by REV1,0.48856790657828825,16
Formation of HIV elongation complex in the absence of HIV Tat,0.4878693204723655,45
Displacement of DNA glycosylase by APEX1,0.48774316692371844,9
Dectin-1 mediated noncanonical NF-kB signaling,0.48694493795035826,49
The phototransduction cascade,0.4865135843752604,34
Loss of Function of SMAD2/3 in Cancer,0.4864015374289887,7
SLBP independent Processing of Histone Pre-mRNAs,0.4861018369751319,10
Processing of Capped Intron-Containing Pre-mRNA,0.4857298364508128,283
Maturation of TCA enzymes and regulation of TCA cycle,0.4853514501115057,20
Regulation of PTEN localization,0.48534831300082054,9
ER Quality Control Compartment (ERQC),0.48528955011118097,21
Serotonin receptors,0.4851315739552207,12
Calnexin/calreticulin cycle,0.48506357176888815,26
mRNA Splicing,0.4829839214588286,212
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,0.4829753151816222,6
Formation of TC-NER Pre-Incision Complex,0.4828908474322584,51
Prevention of phagosomal-lysosomal fusion,0.4828873375900773,9
SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs,0.4819941720928727,11
Alpha-protein kinase 1 signaling pathway,0.4816765324445819,11
Protein hydroxylation,0.48141384541951054,20
Cytosolic iron-sulfur cluster assembly,0.4813032227163097,13
mRNA Splicing - Major Pathway,0.4805960409405672,204
"Inactivation, recovery and regulation of the phototransduction cascade",0.4805750799177263,33
GLI3 is processed to GLI3R by the proteasome,0.4804567149901196,47
Degradation of AXIN,0.48022608687321344,42
"TICAM1,TRAF6-dependent induction of TAK1 complex",0.4792702273641064,11
FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,0.4790297829566788,42
HIV Transcription Elongation,0.4784624873977946,43
Formation of HIV-1 elongation complex containing HIV-1 Tat,0.4784624873977946,43
Tat-mediated elongation of the HIV-1 transcript,0.4784624873977946,43
Nucleotide Excision Repair,0.47845472883857637,108
Degradation of GLI2 by the proteasome,0.4779782772817222,47
mRNA Splicing - Minor Pathway,0.47784299696422344,50
Global Genome Nucleotide Excision Repair (GG-NER),0.47737264473927565,84
Diseases of Base Excision Repair,0.47642987837924244,5
N-glycan trimming in the ER and Calnexin/Calreticulin cycle,0.4763983528890096,35
Downregulation of ERBB4 signaling,0.47520424767843406,9
Vif-mediated degradation of APOBEC3G,0.4748290003373081,41
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,0.4741037918265585,61
Signaling by NODAL,0.4733864064853897,23
IRAK2 mediated activation of TAK1 complex,0.47330838483843185,10
Pausing and recovery of HIV elongation,0.47304984563989877,33
HIV elongation arrest and recovery,0.4730498456398987,33
Ubiquitin-dependent degradation of Cyclin D,0.4729703384940404,39
Reversal of alkylation damage by DNA dioxygenases,0.4728985997478676,7
Abortive elongation of HIV-1 transcript in the absence of Tat,0.47231982042049075,23
IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation,0.4721620843046996,14
IRAK1 recruits IKK complex,0.47197984840128004,14
Regulation of ornithine decarboxylase (ODC),0.4716370757914046,38
Pervasive developmental disorders,0.4701986437288308,13
Disorders of Developmental Biology,0.4701986437288308,13
Disorders of Nervous System Development,0.4701986437288308,13
Loss of function of MECP2 in Rett syndrome,0.4701986437288308,13
